,LPS,chitin,elf,flg,nlp,OGs,pep
AT1G05575,0,0,0,0,0,1,0
AT1G07135,0,0,0,1,0,1,0
AT1G18300,0,0,0,0,0,1,0
AT1G23710,0,0,0,0,0,1,0
AT1G27730,0,0,1,1,0,1,1
AT1G28370,0,0,0,0,0,1,0
AT1G30370,0,0,0,0,0,1,1
AT1G32920,0,0,0,0,0,1,0
AT1G32928,0,0,0,0,0,1,0
AT1G35210,0,0,0,0,0,1,0
AT1G58420,0,0,0,0,0,1,0
AT1G61470,0,0,1,0,0,1,0
AT1G66400,0,0,0,1,0,1,0
AT1G66500,0,0,0,0,0,1,0
AT1G72920,0,0,0,0,0,1,0
AT1G73540,0,0,1,1,0,1,1
AT1G76650,0,0,0,0,0,1,0
AT1G80840,0,0,0,0,0,1,0
AT2G04500,0,0,0,0,0,1,0
AT2G18210,0,0,0,0,0,1,0
AT2G22880,0,0,0,0,0,1,0
AT2G26530,0,0,1,0,0,1,0
AT2G28590,0,0,0,0,0,1,0
AT2G30020,0,0,0,0,0,1,0
AT2G40000,0,0,0,0,0,1,0
AT2G44840,0,0,0,0,0,1,0
AT3G03280,0,0,0,0,0,1,0
AT3G04640,0,0,0,0,0,1,0
AT3G09870,0,0,0,0,0,1,0
AT3G10930,0,0,0,1,0,1,0
AT3G28340,0,0,0,0,0,1,0
AT3G29000,0,0,0,0,0,1,0
AT3G44260,0,0,1,1,0,1,0
AT3G46620,0,0,0,0,0,1,0
AT3G50800,0,0,1,0,0,1,0
AT3G52450,0,0,0,0,0,1,0
AT3G60550,0,0,0,0,0,1,0
AT3G61190,0,0,0,0,0,1,0
AT4G11280,0,0,0,0,0,1,0
AT4G13395,0,0,0,0,0,1,0
AT4G17490,0,0,0,0,0,1,0
AT4G18422,0,0,0,0,0,1,0
AT4G24570,0,0,0,1,0,1,0
AT4G25470,0,0,0,0,0,1,0
AT4G25490,0,0,0,0,0,1,0
AT4G27280,0,0,0,0,0,1,0
AT4G27652,0,0,0,0,0,1,0
AT4G27654,0,0,0,0,0,1,0
AT4G27657,0,0,0,0,0,1,0
AT4G29780,0,0,0,0,0,1,0
AT5G04340,0,0,0,0,0,1,0
AT5G17350,0,0,0,1,0,1,0
AT5G22250,0,0,0,0,0,1,0
AT5G37770,0,0,0,0,0,1,0
AT5G42380,0,0,0,0,0,1,0
AT5G43620,0,0,0,0,0,1,0
AT5G47230,0,0,0,0,0,1,0
AT5G51190,0,0,1,1,0,1,0
AT5G54490,0,0,0,0,0,1,0
AT5G59550,0,0,0,0,0,1,0
AT5G59820,0,0,1,1,0,1,0
AT5G61600,0,0,1,1,0,1,0
AT5G63130,0,0,1,0,0,0,0
AT5G65300,0,0,0,0,0,1,0
